"SourceKey","Sentiment","Sector","Date"
219,"bullish","informationtechnology","2020-07-19"
220,"none","sector","2020-07-19"
221,"none","informationtechnology","2020-07-19"
222,"none","sector","2020-07-19"
223,"none","sector","2020-07-19"
224,"bearish","telecommunicationServices","2020-07-19"
225,"none","sector","2020-07-19"
226,"none","sector","2020-07-19"
227,"none","sector","2020-07-19"
228,"none","sector","2020-07-19"
229,"none","sector","2020-07-19"
230,"none","sector","2020-07-19"
231,"none","industrials","2020-07-19"
232,"bullish","sector","2020-07-19"
233,"none","telecommunicationServices","2020-07-19"
234,"bearish","telecommunicationServices","2020-07-19"
235,"bearish","telecommunicationServices","2020-07-19"
236,"none","informationtechnology","2020-07-19"
237,"bullish","sector","2020-07-19"
238,"bearish","telecommunicationServices","2020-07-19"
239,"bullish","sector","2020-07-19"
240,"none","sector","2020-07-19"
241,"none","sector","2020-07-19"
242,"bearish","telecommunicationServices","2020-07-19"
243,"none","sector","2020-07-19"
244,"bearish","sector","2020-07-19"
245,"none","sector","2020-07-19"
246,"bearish","sector","2020-07-19"
247,"none","sector","2020-07-19"
248,"none","industrials","2020-07-19"
249,"none","sector","2020-07-19"
250,"bullish","sector","2020-07-19"
251,"none","healthCare","2020-07-19"
252,"none","telecommunicationServices","2020-07-19"
253,"bearish","informationtechnology","2020-07-19"
254,"bullish","telecommunicationServices","2020-07-19"
255,"none","telecommunicationServices","2020-07-19"
256,"none","telecommunicationServices","2020-07-19"
257,"none","healthCare","2020-07-19"
258,"none","telecommunicationServices","2020-07-19"
259,"none","telecommunicationServices","2020-07-19"
260,"none","sector","2020-07-19"
261,"none","sector","2020-07-19"
262,"none","sector","2020-07-19"
263,"none","telecommunicationServices","2020-07-19"
264,"bearish","telecommunicationServices","2020-07-19"
265,"bearish","telecommunicationServices","2020-07-19"
266,"none","sector","2020-07-19"
267,"none","telecommunicationServices","2020-07-19"
268,"none","sector","2020-07-19"
269,"bearish","telecommunicationServices","2020-07-19"
270,"none","informationtechnology","2020-07-19"
271,"none","healthCare","2020-07-19"
272,"none","telecommunicationServices","2020-07-19"
273,"none","sector","2020-07-19"
274,"none","telecommunicationServices","2020-07-19"
275,"none","informationtechnology","2020-07-19"
276,"none","healthCare","2020-07-19"
277,"none","telecommunicationServices","2020-07-19"
278,"bullish","sector","2020-07-19"
279,"none","sector","2020-07-19"
280,"none","healthCare","2020-07-19"
281,"none","healthCare","2020-07-19"
282,"none","informationtechnology","2020-07-19"
283,"none","telecommunicationServices","2020-07-19"
284,"none","healthCare","2020-07-19"
285,"none","healthCare","2020-07-19"
286,"bullish","sector","2020-07-19"
287,"none","sector","2020-07-19"
288,"bearish","telecommunicationServices","2020-07-19"
289,"bullish","telecommunicationServices","2020-07-19"
290,"bullish","sector","2020-07-19"
291,"none","industrials","2020-07-19"
292,"none","telecommunicationServices","2020-07-19"
293,"bullish","sector","2020-07-19"
294,"none","sector","2020-07-19"
295,"bullish","sector","2020-07-19"
296,"bullish","telecommunicationServices","2020-07-19"
297,"none","sector","2020-07-19"
298,"none","sector","2020-07-19"
